,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2007-04-25,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600205.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601628.XSHG,601988.XSHG
2007-04-26,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600205.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601628.XSHG,601988.XSHG
2007-04-27,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600205.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601628.XSHG,601988.XSHG
2007-04-30,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-08,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-09,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-10,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-11,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-14,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-15,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-16,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-17,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600188.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG
2007-05-18,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-21,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-22,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-23,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-24,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-25,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-28,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-29,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-30,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-05-31,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-01,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-04,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-05,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-06,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-07,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-08,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-11,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-12,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-13,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-14,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-15,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
2007-06-18,600000.XSHG,600001.XSHG,600005.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600037.XSHG,600048.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600177.XSHG,600269.XSHG,600309.XSHG,600320.XSHG,600331.XSHG,600362.XSHG,600418.XSHG,600519.XSHG,600550.XSHG,600583.XSHG,600601.XSHG,600642.XSHG,600649.XSHG,600688.XSHG,600717.XSHG,600795.XSHG,600832.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,601006.XSHG,601166.XSHG,601318.XSHG,601328.XSHG,601398.XSHG,601600.XSHG,601628.XSHG,601988.XSHG,601998.XSHG
